Fit #,VLT 2002,Priors,Rel.,Extended Mass,R₀ (kpc),M_MBH (10⁶ M☉),α (mas),δ (mas),v_α (µas yr⁻¹),v_δ (µas yr⁻¹),v_z (km s⁻¹),η (%)
1,Yes,2D v₂,No,...,8.34 ± 0.27,4.40 ± 0.27,2.93 ± 0.55,0.41 ± 0.85,-61 ± 84,89 ± 91,2.5 ± 6.3,-
2,No,2D v₂,No,...,7.72 ± 0.33,3.90 ± 0.29,3.21 ± 0.58,-1.53 ± 1.13,-109 ± 88,67 ± 94,0.4 ± 6.5,-
3,Yes,v₂,No,...,8.39 ± 0.28,4.44 ± 0.29,3.18 ± 0.62,0.14 ± 0.88,-27 ± 115,186 ± 132,2.2 ± 6.2,-
4,No,v₂,No,...,7.67 ± 0.37,3.87 ± 0.31,3.72 ± 0.66,-2.05 ± 1.21,-134 ± 123,106 ± 138,0.24 ± 6.4,-
5,Yes,None,Yes,...,8.77 ± 0.41,4.99 ± 0.53,3.13 ± 0.62,0.41 ± 0.88,-34 ± 115,173 ± 131,33 ± 24,-
6,No,None,Yes,...,7.73 ± 0.57,3.93 ± 0.58,3.69 ± 0.67,-1.95 ± 1.37,-131 ± 123,107 ± 138,3.7 ± 27.0,-
7,Yes,2D,Yes,...,8.78 ± 0.41,5.03 ± 0.55,2.87 ± 0.55,0.68 ± 0.85,-63 ± 84,81 ± 91,37 ± 24,-
8,No,2D,Yes,...,7.85 ± 0.52,4.04 ± 0.55,3.19 ± 0.58,-1.34 ± 1.23,-109 ± 88,66 ± 94,7.9 ± 26.7,-
9,Yes,2D v₂,Yes,...,8.46 ± 0.28,4.65 ± 0.30,2.58 ± 0.55,-0.10 ± 0.84,-37 ± 84,97 ± 91,1.5 ± 6.3,-
10,Yes,2D v₂,Yes,r⁻¹·⁴,8.55 ± 0.29,4.70 ± 0.31,3.03 ± 0.66,0.25 ± 0.87,-130 ± 114,70 ± 94,1.4 ± 6.3,2.0 ± 1.6
11,Yes,2D v₂,Yes,r⁻⁷/⁴,8.51 ± 0.28,4.66 ± 0.30,3.07 ± 0.66,0.14 ± 0.86,-140 ± 114,67 ± 93,1.1 ± 6.3,1.8 ± 1.4
12,Yes,2D v₂,Yes,r⁻²·¹,8.49 ± 0.28,4.64 ± 0.30,3.09 ± 0.66,0.00 ± 0.85,-146 ± 115,64 ± 93,0.6 ± 6.3,1.6 ± 1.3

